lncRNA,mRNA
MALAT1 ,TRAPPC10
MALAT1 ,TMPO
MALAT1 ,TOP2A
MALAT1 ,TP53
MALAT1 ,TP53BP1
MALAT1 ,NR2C1
MALAT1 ,TRAF6
MALAT1 ,TRO
MALAT1 ,TRPC1
MALAT1 ,TRPC3
MALAT1 ,TRPC6
MALAT1 ,TSC1
MALAT1 ,TSC2
MALAT1 ,TTC3
MALAT1 ,TTK
MALAT1 ,TUBA4A
MALAT1 ,TUBB2A
MALAT1 ,TUBG1
MALAT1 ,TUFM
MALAT1 ,TNFSF4
MALAT1 ,TXNRD1
MALAT1 ,ZRSR2P1
MALAT1 ,UBA1
MALAT1 ,UBA7
MALAT1 ,UCP3
MALAT1 ,COL14A1
MALAT1 ,UPP1
MALAT1 ,UROS
MALAT1 ,UVRAG
MALAT1 ,VARS
MALAT1 ,VASP
MALAT1 ,VCAM1
MALAT1 ,VCL
MALAT1 ,VDR
MALAT1 ,VEGFA
MALAT1 ,VEGFB
MALAT1 ,TRPV1
MALAT1 ,VRK1
MALAT1 ,VRK2
MALAT1 ,VSNL1
MALAT1 ,EIF4H
MALAT1 ,LAT2
MALAT1 ,WFS1
MALAT1 ,WNT2B
MALAT1 ,XPA
MALAT1 ,XPC
MALAT1 ,XRCC1
MALAT1 ,XRCC4
MALAT1 ,YWHAH
MALAT1 ,YWHAZ
MALAT1 ,ZFP37
MALAT1 ,ZFPL1
MALAT1 ,ZFX
MALAT1 ,ZNF20
MALAT1 ,ZNF22
MALAT1 ,ZNF23
MALAT1 ,ZNF26
MALAT1 ,ZNF28
MALAT1 ,ZNF32
MALAT1 ,ZNF35
MALAT1 ,ZNF37A
MALAT1 ,ZNF45
MALAT1 ,ZNF70
MALAT1 ,ZNF75A
MALAT1 ,ZNF79
MALAT1 ,ZNF84
MALAT1 ,ZNF222
MALAT1 ,ZNF121
MALAT1 ,ZNF131
MALAT1 ,ZNF136
MALAT1 ,ZNF140
MALAT1 ,ZNF143
MALAT1 ,PCGF2
MALAT1 ,ZNF155
MALAT1 ,ZNF175
MALAT1 ,ZNF195
MALAT1 ,ZNF202
MALAT1 ,ZNF223
MALAT1 ,ZNF232
MALAT1 ,SLC30A1
MALAT1 ,MAP3K12
MALAT1 ,ZYX
MALAT1 ,DNALI1
MALAT1 ,PTP4A1
MALAT1 ,DAP3
MALAT1 ,BTG2
MALAT1 ,RNF103
MALAT1 ,TUBA1A
MALAT1 ,FZD5
MALAT1 ,SLMAP
MALAT1 ,RAB7A
MALAT1 ,MAFK
MALAT1 ,TFPI2
MALAT1 ,ST7
MALAT1 ,ZNF212
MALAT1 ,PSCA
MALAT1 ,NR4A3
MALAT1 ,STAM
MALAT1 ,USP5
MALAT1 ,SSPN
MALAT1 ,AAAS
MALAT1 ,FXR1
MALAT1 ,DPF3
MALAT1 ,GAN
MALAT1 ,SLC7A5
MALAT1 ,SF3A2
MALAT1 ,ELL
MALAT1 ,SYMPK
MALAT1 ,DPF1
MALAT1 ,MKKS
MALAT1 ,NRIP1
MALAT1 ,ESS2
MALAT1 ,ZRSR2
MALAT1 ,TMEM187
MALAT1 ,SERF1A
MALAT1 ,HIST1H4I
MALAT1 ,PICALM
MALAT1 ,SNN
MALAT1 ,ACOX2
MALAT1 ,BRAP
MALAT1 ,CDC7
MALAT1 ,FZD6
MALAT1 ,FZD7
MALAT1 ,FZD8
MALAT1 ,HIST1H2AL
MALAT1 ,HIST1H2AB
MALAT1 ,HIST1H2BM
MALAT1 ,HIST1H2BM
MALAT1 ,HIST1H2BF
MALAT1 ,HIST1H2BO
MALAT1 ,HIST1H3A
MALAT1 ,HIST1H3C
MALAT1 ,HIST1H3I
MALAT1 ,HIST1H3G
MALAT1 ,HIST1H3J
MALAT1 ,HIST1H3H
MALAT1 ,HIST1H3B
MALAT1 ,HIST1H4D
MALAT1 ,HIST1H4B
MALAT1 ,HIST1H4L
MALAT1 ,SLC25A11
MALAT1 ,SNHG3
MALAT1 ,LTBP4
MALAT1 ,ZNF282
MALAT1 ,RECK
MALAT1 ,RAD54L
MALAT1 ,NCK2
MALAT1 ,DYRK3
MALAT1 ,DUSP11
MALAT1 ,CUL4A
MALAT1 ,CUL2
MALAT1 ,ATRN
MALAT1 ,TEAD2
MALAT1 ,SUPT3H
MALAT1 ,OGT
MALAT1 ,OFD1
MALAT1 ,PRSS12
MALAT1 ,PPM1D
MALAT1 ,PPFIA1
MALAT1 ,PIK3R3
MALAT1 ,PEX3
MALAT1 ,CNTNAP1
MALAT1 ,NIPSNAP1
MALAT1 ,NDST2
MALAT1 ,DGKE
MALAT1 ,DGKD
MALAT1 ,APOL1
MALAT1 ,BHLHE40
MALAT1 ,CDC14B
MALAT1 ,CDK10
MALAT1 ,PDLIM4
MALAT1 ,CASK
MALAT1 ,TMEFF1
MALAT1 ,RGS20
MALAT1 ,NOP14
MALAT1 ,PLPP1
MALAT1 ,STC2
MALAT1 ,RFXANK
MALAT1 ,RNASET2
MALAT1 ,AOC3
MALAT1 ,DCHS1
MALAT1 ,NCOA1
MALAT1 ,NUMB
MALAT1 ,SOCS1
MALAT1 ,PDE5A
MALAT1 ,IRS2
MALAT1 ,VAMP4
MALAT1 ,STX11
MALAT1 ,TRADD
MALAT1 ,EDF1
MALAT1 ,SNX4
MALAT1 ,RNMT
MALAT1 ,RIPK1
MALAT1 ,RIPK2
MALAT1 ,TNFRSF10C
MALAT1 ,TNFRSF10A
MALAT1 ,DYRK4
MALAT1 ,PEX11B
MALAT1 ,DPM1
MALAT1 ,FGF18
MALAT1 ,INPP4B
MALAT1 ,CES2
MALAT1 ,LIN7A
MALAT1 ,WISP1
MALAT1 ,ALKBH1
MALAT1 ,TSC22D1
MALAT1 ,IER3
MALAT1 ,SPHK1
MALAT1 ,SQSTM1
MALAT1 ,NAE1
MALAT1 ,SLC5A6
MALAT1 ,TAX1BP1
MALAT1 ,MTMR3
MALAT1 ,CPNE1
MALAT1 ,GYG2
MALAT1 ,TIMELESS
MALAT1 ,HERC3
MALAT1 ,RAB29
MALAT1 ,KYNU
MALAT1 ,HIST1H3F
MALAT1 ,HIST1H2AG
MALAT1 ,P4HA2
MALAT1 ,WASL
MALAT1 ,TRPA1
MALAT1 ,SELENBP1
MALAT1 ,KALRN
MALAT1 ,CDKL2
MALAT1 ,RNF8
MALAT1 ,PRC1
MALAT1 ,SLC7A7
MALAT1 ,SLC7A6
MALAT1 ,PAPSS2
MALAT1 ,PAPSS1
MALAT1 ,MAP3K6
MALAT1 ,PIGQ
MALAT1 ,TBX19
MALAT1 ,NMI
MALAT1 ,MTA1
MALAT1 ,SLC16A6
MALAT1 ,SLC16A3
MALAT1 ,PDLIM1
MALAT1 ,PRPF4
MALAT1 ,FAM50A
MALAT1 ,CCNE2
MALAT1 ,RABEP1
MALAT1 ,ARHGEF1
MALAT1 ,CBFA2T2
MALAT1 ,ATG12
MALAT1 ,SYNGR1
MALAT1 ,EXO1
MALAT1 ,DGKI
MALAT1 ,EBAG9
MALAT1 ,MAP3K13
MALAT1 ,AP4M1
MALAT1 ,ARHGEF2
MALAT1 ,DDX21
MALAT1 ,SLC33A1
MALAT1 ,ZMYM3
MALAT1 ,ZMYM5
MALAT1 ,LRRFIP1
MALAT1 ,LRRFIP2
MALAT1 ,AURKB
MALAT1 ,VAPB
MALAT1 ,PTTG1
MALAT1 ,CCPG1
MALAT1 ,PNMA1
MALAT1 ,MSC
MALAT1 ,CRLF1
MALAT1 ,MFHAS1
MALAT1 ,STK17B
MALAT1 ,WDR46
MALAT1 ,S1PR2
MALAT1 ,TRIP13
MALAT1 ,TRIP11
MALAT1 ,GTF3C3
